serial,opeid,institution,address,city,state,zip,repayment_borrowers,default_borrowers,default_rate,borrower_default_count_240,principal_outstanding_240
3603,327600,Immaculata University,King Road,Immaculata,PA,19345-0647,45,8,17.78%,87,137681
3604,327700,Indiana University of Pennsylvania,201 Sutton Hall,Indiana,PA,15705-1097,825,87,10.55%,1014,1385300
3611,327900,Juniata College,1700 Moore Street,Huntingdon,PA,16652-2196,128,9,7.03%,62,97111
3715,491000,Kaplan Career Institute,5650 Derry Street,Harrisburg,PA,17111-3571,83,17,20.48%,43,66025
3612,328000,Keystone College,One College Green,La Plume,PA,18440-0200,38,10,26.32%,455,830106
3613,328200,Kings College,133 North  River Street,Wilkes-Barre,PA,18711-0801,177,24,13.56%,171,322787
3614,332200,Kutztown University of Pennsylvania,15200 Kutztown Road,Kutztown,PA,19530-9339,227,39,17.18%,294,564862
3615,398700,La Roche College,9000 Babcock Boulevard,Pittsburgh,PA,15237-5898,42,8,19.05%,205,296072
3616,328700,La Salle University,1900 West Olney Avenue,Philadelphia,PA,19141-1199,261,32,12.26%,353,693871
3617,328300,Lackawanna College,501 Vine Street,Scranton,PA,18509-9961,62,22,35.48%,90,115213
3618,328400,Lafayette College,Markle Hall  High Street,Easton,PA,18042-1768,79,5,6.33%,49,212038
3621,328500,Lancaster Bible College,901 Eden Road,Lancaster,PA,17601-5036,30,5,16.67%,31,42165
3622,328800,Lebanon Valley College,101 North College Avenue,Annville,PA,17003-1400,123,6,4.88%,110,195168
3623,681000,Lehigh Carbon Community College,4525 Education Park Drive,Schnecksville,PA,18078-2598,74,16,21.62%,174,214881
3624,328900,Lehigh University,27 Memorial Drive West,Bethlehem,PA,18015-1588,181,3,1.66%,23,50106
3627,329000,Lincoln University,1570 Baltimore Pike,Lincoln University,PA,19352-0999,68,11,16.18%,1481,1489882
3628,332300,Lock Haven University of Pennsylvania,North Fairview Street,Lock Haven,PA,17745-2439,76,20,26.32%,167,204592
3632,329300,Lycoming College,700 College Place,Williamsport,PA,17701-5192,144,28,19.44%,211,425750
3634,329400,Manor College,700 Fox Chase Road,Jenkintown,PA,19046-3399,7,3,42.86%,97,144092
3635,332400,Mansfield University of Pennsylvania,Academy Street,Mansfield,PA,16933-1123,195,30,15.38%,239,297787
3638,329600,Marywood University,2300 Adams Avenue,Scranton,PA,18509-1598,186,22,11.83%,144,230093
3643,329700,Mercyhurst University,501 East 38th Street,Erie,PA,16546-0001,73,11,15.07%,187,452637
3644,329800,Messiah College,One College Avenue,Mechanicsburg,PA,17055-0000,159,9,5.66%,165,309946
3645,332500,Millersville University of Pennsylvania,101 North George Street,Millersville,PA,17551-1800,92,22,23.91%,90,259809
3563,324700,Misericordia  University,301 Lake Street,Dallas,PA,18612-1008,150,21,14.00%,127,227394
3647,330000,Moore College of Art and Design,20th and the Parkway,Philadelphia,PA,19103-1190,82,25,30.49%,160,356301
3648,330100,Moravian College,1200 Main Street,Bethlehem,PA,18018-6650,136,9,6.62%,132,275567
3650,330200,Mount Aloysius College,7373 Admiral Peary Highway,Cresson,PA,16630-1999,67,13,19.40%,156,118393
3651,330400,Muhlenberg College,2400 Chew Street,Allentown,PA,18104-5586,63,2,3.17%,27,86473
3656,719100,Northampton County Area Community College,3835 Green Pond Road,Bethlehem,PA,18020-7599,41,13,31.71%,93,101282
3678,944900,Pennco Tech,3815 Otter Street,Bristol,PA,19007-3696,22,8,36.36%,49,71505
3668,332900,Pennsylvania State University (The),President's Office,University Park,PA,16802-1503,1890,26,1.38%,2230,5768001
3669,335200,Philadelphia College of Osteopathic Medicine,4170 City Avenue,Philadelphia,PA,19131-1694,161,5,3.11%,69,140728
3671,335400,Philadelphia University,School House Lane & Henry Avenue,Philadelphia,PA,19144-5497,292,42,14.38%,415,294149
3684,743700,Pittsburgh Technical Institute,1111 McKee Road,Oakdale,PA,15071-3205,0,0,0%,5,5950
3685,335700,Point Park University,201 Wood Street,Pittsburgh,PA,15222-1912,89,20,22.47%,333,351661
3688,335900,Robert Morris University,6001 University Boulevard,Moon Township,PA,15108-1189,91,19,20.88%,188,263223
3690,336000,Rosemont College,1400 Montgomery Avenue,Rosemont,PA,19010-1699,121,42,34.71%,104,258607
3694,336600,Saint Francis University,110 Franciscan Way,Loretto,PA,15940-0600,97,22,22.68%,321,498336
3696,336700,Saint Joseph's University,5600 City Avenue,Philadelphia,PA,19131-1395,142,25,17.61%,247,465360
3698,336800,Saint Vincent College & Seminary,300 Fraser Purchase Road,Latrobe,PA,15650-2690,157,16,10.19%,91,178243
3665,331100,Salus University,8360 Old York Road,Elkins Park,PA,19027-1598,150,4,2.67%,52,247771
3702,336200,Seton Hill University,1 Seton Hill Drive,Greensburg,PA,15601-1599,84,18,21.43%,124,211722
3703,332600,Shippensburg University of Pennsylvania,1871 Old Main Drive,Shippensburg,PA,17257-2299,191,27,14.14%,233,424334
3704,332700,Slippery Rock University,1 Morrow Way,Slippery Rock,PA,16057-1326,391,70,17.90%,816,1035918
3706,336900,Susquehanna University,514 University Avenue,Selinsgrove,PA,17870-1001,122,7,5.74%,52,158931
3707,337000,Swarthmore College,500 College Avenue,Swarthmore,PA,19081-1390,46,5,10.87%,49,121190
3711,337100,Temple University,Conwell Hall  Ground Floor,Philadelphia,PA,19122-6003,3297,366,11.10%,4986,7660352
3712,337600,Thiel College,75 College Avenue,Greenville,PA,16125-2181,189,46,24.34%,513,731668
3713,1239300,Thomas Jefferson University,1020 Walnut Street,Philadelphia,PA,19107-5543,130,6,4.62%,98,486741
3718,783900,Triangle Tech,1940 Perrysville Avenue,Pittsburgh,PA,15214-3897,2,0,0%,22,15988
3720,337800,University of Pennsylvania,3451 Walnut Street,Philadelphia,PA,19104-6216,1735,85,4.90%,945,5600141
3721,337900,University of Pittsburgh - Pittsburgh,107 Cathedral of Learning,Pittsburgh,PA,15260-0001,1603,63,3.93%,2081,3244015
3722,338400,University of Scranton,800 Linden,Scranton,PA,18510-4622,146,12,8.22%,96,322180
3672,335000,University of the Arts (The),320 South Broad Street,Philadelphia,PA,19102-9493,155,20,12.90%,268,518725
3670,335300,University of the Sciences in Philadelphia,600 South 43rd Street,Philadelphia,PA,19104-4495,54,4,7.41%,119,386798
3723,338500,Ursinus College,601 East Main Street,Collegeville,PA,19426-1000,143,18,12.59%,170,342985
3657,330600,Valley Forge Christian College,1401 Charlestown Road,Phoenixville,PA,19460-2399,46,6,13.04%,53,85154
3725,338800,Villanova University,800 Lancaster Avenue,Villanova,PA,19085-1699,499,16,3.21%,68,207358
3726,338900,Washington and Jefferson College,60 South Lincoln Street,Washington,PA,15301-4801,30,4,13.33%,252,423098
3727,339100,Waynesburg University,51 West College Street,Waynesburg,PA,15370-1222,104,13,12.50%,272,224290
3728,332800,West Chester University of Pennsylvania,700 S. High Street,West Chester,PA,19383-0001,254,34,13.39%,250,907936
3729,339200,Westminster College,319 South Market Street,New Wilmington,PA,16172-0002,157,12,7.64%,30,80136
3733,331300,Widener University,One University Place,Chester,PA,19013-5792,585,14,2.39%,600,1158732
3736,339400,Wilkes University,84 West South Street,Wilkes-Barre,PA,18766-0998,146,21,14.38%,320,691664
3739,339600,Wilson College,1015 Philadelphia Avenue,Chambersburg,PA,17201-1285,102,27,26.47%,102,290248
3741,339900,York College of Pennsylvania,Country Club Road,York,PA,17405-7199,12,4,33.33%,6,15894
4586,502200,Bayamon Central University,Ave. Zaya Verde Urb. La Milagrosa,Bayamon,PR,00960-1725,0,0,0%,219,124096
4588,1252500,Caribbean University,Road 167 KM 21.2,Bayamon,PR,00960-0493,0,0,0%,90,48893
4599,393800,Inter American University of Puerto Rico,PR Highway 1  Km. 16.3,San Juan,PR,00926-0000,844,154,18.25%,3843,4247534
4589,393600,Pontifical Catholic University of Puerto Rico (The),2250 Las Americas Avenue Suite 564,Ponce,PR,00717-9997,461,45,9.76%,2478,5493640
4594,394100,Universidad del Este,Calle Prin Sabana,Carolina,PR,00984-2010,5,0,0%,7,11217
9097,1212300,University of Puerto Rico  Aguadilla Regional College,Calle North East,Aguadilla,PR,00604-0160,3,2,66.67%,41,57909
9099,722800,University of Puerto Rico - Arecibo,Street Number 653  Route 128  Km.8,Arecibo,PR,00614-4010,4,1,25.00%,41,38302
9113,720600,University of Puerto Rico - Cayey University College,205 Antonio R. Barcelo Avenue,Cayey,PR,00736-5534,6,3,50.00%,16,27758
9095,394300,University of Puerto Rico - Humacao University College,100 State Road 908,Humacao,PR,00791-4300,4,1,25.00%,28,42943
9125,394400,University of Puerto Rico - Mayaguez,Road # 2 Post Street Alfonso Valdez,Mayaguez,PR,00680-0000,51,9,17.65%,318,293129
9093,2460000,University of Puerto Rico - Medical Science Campus,Terrenos Centro Medico,Rio Piedras,PR,00936-0000,0,0,0%,40,58915
9094,965200,University of Puerto Rico  Ponce Tech Univ College,2151 Santiago de los Caballeros Ave,Ponce,PR,00716-0000,0,0,0%,18,13712
9109,710800,University of Puerto Rico - Rio Piedras Campus,39 Ponce de Leon Avenue,R?o Piedras,PR,00931-3300,8,1,12.50%,278,319588
9100,1092200,University of Puerto Rico - Utuado,Carretera Num. 123 Kilometro 52.2,Utuado,PR,00641-2500,0,0,0%,15,19365
9096,1097500,University of Puerto Rico Bayamon Technical University College,Numero 170 Carretera 174,Bayamon,PR,00959-1911,0,0,0%,11,15780
4590,393700,University of the Sacred Heart,Rosales & San Antonio Street,San Juan,PR,00914-0383,103,15,14.56%,399,1384435
3743,340100,Brown University,Prospect Street,Providence,RI,02912-9127,514,6,1.17%,178,885971
3744,340200,Bryant University,1150 Douglas Pike,Smithfield,RI,02917-1284,327,8,2.45%,212,455284
3745,340400,Johnson & Wales University,8 Abbott Park Place,Providence,RI,02903-3703,2044,186,9.10%,5688,16011647
3747,340600,Providence College,549 River Avenue,Providence,RI,02918-0001,307,13,4.23%,177,480138
3748,340700,Rhode Island College,600 Mt Pleasant Avenue,Providence,RI,02908-1991,338,59,17.46%,742,1263256
3751,340900,Rhode Island School of Design,Two College Street,Providence,RI,02903-2784,228,15,6.58%,147,577739
3753,341000,Roger Williams University,One Old Ferry Road,Bristol,RI,02809-2921,214,21,9.81%,341,365756
3754,341100,Salve Regina University,100 Ochre Point Avenue,Newport,RI,02840-4192,94,10,10.64%,240,351828
3755,1115900,Sawyer School  (The),101 Main Street,Pawtucket,RI,02860-4117,0,0,0%,38,47238
3757,341400,University of Rhode Island,Green Hall,Kingston,RI,02881-0000,540,117,21.67%,1074,2241281
3760,341700,Allen University,1530 Harden Street,Columbia,SC,29204-1085,0,0,0%,37,63378
3761,341800,Anderson University,316 Boulevard,Anderson,SC,29621-4035,95,7,7.37%,215,425600
3765,342000,Benedict College,1600 Harden Street,Columbia,SC,29204-1086,33,9,27.27%,395,544564
3763,341900,Charleston Southern University,9200 University Boulevard,Charleston,SC,29406-2160,122,22,18.03%,509,1024066
3769,342300,Citadel  The Military College of South Carolina,171 Moultrie Street,Charleston,SC,29409-0002,52,10,19.23%,27,87267
3770,342400,Claflin University,400 Magnolia Street,Orangeburg,SC,29115-4498,127,86,67.72%,836,849638
3771,342500,Clemson University,201 Sikes Hall,Clemson,SC,29634-0001,403,34,8.44%,250,623249
7401,345100,Coastal Carolina University,755 Highway 544,Conway,SC,29526-8428,52,13,25.00%,120,337836
3773,342700,Coker College,300 East College Avenue,Hartsville,SC,29550-3797,99,21,21.21%,108,222979
3774,342800,College of Charleston,66 George Street,Charleston,SC,29424-0100,111,17,15.32%,297,437961
3775,343000,Columbia College,1301 Columbia College Drive,Columbia,SC,29203-5998,57,8,14.04%,68,181568
3778,343100,Converse College,580 East Main Street,Spartanburg,SC,29302-1931,38,2,5.26%,35,101991
3781,343200,Erskine College,2 Washington Street,Due West,SC,29639-0000,30,3,10.00%,37,128520
3782,399000,Florence - Darlington Technical College,2715 West Lucas Street,Florence,SC,29501-1251,33,4,12.12%,56,131747
3783,492400,Forrest College,601 East River Street,Anderson,SC,29624-2405,11,0,0%,19,29446
3784,922600,Francis Marion University,Highway 301 North,Florence,SC,29506-0000,55,4,7.27%,44,159927
3786,343400,Furman University,3300 Poinsett Highway,Greenville,SC,29613-5253,122,10,8.20%,73,321694
3790,343500,Lander University,320 Stanley Avenue,Greenwood,SC,29649-2099,90,19,21.11%,169,319001
3791,343600,Limestone College,1115 College Drive,Gaffney,SC,29340-3799,27,13,48.15%,34,80188
3792,343800,Medical University of South Carolina,171 Ashley Avenue,Charleston,SC,29425-0100,199,6,3.02%,57,119300
3794,343900,Morris College,100 West College Street,Sumter,SC,29150-3599,66,42,63.64%,445,426081
3795,344000,Newberry College,2100 College Street,Newberry,SC,29108-2197,38,9,23.68%,181,368921
3802,344500,Presbyterian College,503 South Broad Street,Clinton,SC,29325-2503,107,10,9.35%,48,112713
5128,2063700,Sherman College of Straight Chiropractic,2020 Springfield Road,Spartanburg,SC,29316-7251,113,26,23.01%,143,294725
3805,344600,South Carolina State University,300 College Street Northeast,Orangeburg,SC,29117-4427,142,27,19.01%,508,553665
3767,342200,Southern Wesleyan University,907 Wesleyan Drive,Central,SC,29630-1020,58,7,12.07%,73,182918
3808,344700,Spartanburg Methodist College,1000 Powell Mill Road,Spartanburg,SC,29301-5899,53,19,35.85%,100,254150
7399,344900,University of South Carolina - Aiken,471 University Parkway,Aiken,SC,29801-6399,39,8,20.51%,35,73179
3813,344800,University of South Carolina - Columbia,Columbia-Campus,Columbia,SC,29208-3999,593,32,5.40%,292,739610
3812,991100,University of South Carolina Regional Campuses,1600 Hampton Street Annex,Columbia,SC,29208-0001,94,19,20.21%,85,188170
7400,695100,University of South Carolina Upstate,800 University Way,Spartanburg,SC,29303-9972,78,9,11.54%,59,96313
3814,345500,Voorhees College,481 Porter Road,Denmark,SC,29042-0000,11,2,18.18%,426,377840
3816,345600,Winthrop University,701 Oakland Avenue,Rock Hill,SC,29733-0001,133,23,17.29%,221,297426
3817,345700,Wofford College,429 North Church Street,Spartanburg,SC,29303-3663,78,2,2.56%,33,47523
3821,345800,Augustana College,2001 South Summit Avenue,Sioux Falls,SD,57197-0001,244,16,6.56%,135,466251
3823,345900,Black Hills State University,1200 University Avenue,Spearfish,SD,57799-9502,192,22,11.46%,152,265544
3824,346300,Dakota State University,820 North Washington,Madison,SD,57042-1799,101,17,16.83%,114,151668
3825,346100,Dakota Wesleyan University,1200 West University Avenue,Mitchell,SD,57301-4398,76,18,23.68%,298,437574
3828,530900,Lake Area Technical Institute,1201 Arrow Avenue,Watertown,SD,57201-0730,65,4,6.15%,98,165341
3829,828400,Mitchell Technical Institute,1800 East Spruce Street,Mitchell,SD,57301-9931,62,9,14.52%,27,69027
3830,346500,Mount Marty College,1105 West 8th Street,Yankton,SD,57078-3724,77,12,15.58%,63,98727
3831,405700,National American University,5301 S. Highway 16,Rapid City,SD,57701-3692,47,6,12.77%,262,361788
3833,346600,Northern State University,1200 South Jay Street,Aberdeen,SD,57401-7198,152,8,5.26%,84,282066
3835,346700,Presentation College,1500 North Main Street,Aberdeen,SD,57401-1299,38,4,10.53%,152,225140
3839,347000,South Dakota School of Mines & Technology,501 East Saint Joseph Street,Rapid City,SD,57701-3995,97,11,11.34%,83,142701
3840,347100,South Dakota State University,222 Administration Lane,Brookings,SD,57007-2298,482,23,4.77%,140,309508
3837,346900,University of Sioux Falls,1101 West 22nd Street,Sioux Falls,SD,57105-1699,81,10,12.35%,253,351141
3845,347400,University of South Dakota,414 East Clark Street,Vermillion,SD,57069-2390,692,83,11.99%,784,953652
3852,347800,Austin Peay State University,601 College Street,Clarksville,TN,37044-0002,85,22,25.88%,153,372405
3854,347900,Belmont University,1900 Belmont Boulevard,Nashville,TN,37212-3757,98,12,12.24%,130,176227
3855,348000,Bethel University,325 Cherry Avenue,McKenzie,TN,38201-1705,53,10,18.87%,91,150463
3857,353600,Bryan College,721 Bryan Drive,Dayton,TN,37321-7000,68,6,8.82%,75,242852
3858,348100,Carson - Newman College,1646 Russell Avenue,Jefferson City,TN,37760-2204,51,6,11.76%,176,477368
3861,348200,Christian Brothers University,650 East Parkway South,Memphis,TN,38104-5581,34,4,11.76%,62,158887
3865,348500,Cumberland University,One Cumberland Square,Lebanon,TN,37087-3554,24,4,16.67%,57,75830
3873,348700,East Tennessee State University,Lake Street,Johnson City,TN,37614-2857,200,26,13.00%,652,1717513
3879,349000,Fisk University,1000 17th Avenue North,Nashville,TN,37208-3045,55,23,41.82%,315,597575
3881,349200,Freed Hardeman University,158 East Main Street,Henderson,TN,38340-2399,93,13,13.98%,181,388892
3886,493700,Jackson State Community College,2046 North Parkway Street,Jackson,TN,38301-3797,37,10,27.03%,33,53522
3888,349600,King College,1350 King College Road,Bristol,TN,37620-2699,34,3,8.82%,74,159930
3891,349800,Lambuth University,705 Lambuth Boulevard,Jackson,TN,38301-5296,50,19,38.00%,143,279053
3894,350000,Lee University,1120 North Ocoee Street,Cleveland,TN,37311-4475,141,31,21.99%,325,630809
3895,350200,Lincoln Memorial University,6965 Cumberland Gap Parkway,Harrogate,TN,37752-7920,71,15,21.13%,253,432914
3867,348600,Lipscomb University,One University Park Drive,Nashville,TN,37204-3951,96,2,2.08%,98,218775
3897,350500,Maryville College,502 East Lamar Alexander Parkway,Maryville,TN,37804-5907,87,32,36.78%,146,504456
3899,350600,Meharry Medical College,1005 Dr. David B Todd Jr. Boulevard,Nashville,TN,37208-3599,105,7,6.67%,106,659939
3905,351000,Middle Tennessee State University,1301 East Main Street,Murfreesboro,TN,37132-3754,276,47,17.03%,542,1053665
3907,351100,Milligan College,One Blowers Boulevard,Milligan College,TN,37682-4001,64,6,9.38%,154,171125
1577,461700,National College of Business and Technology,1638 Bell Road,Nashville,TN,37211-6605,36,1,2.78%,81,121962
3920,351900,Rhodes College,2000 North Parkway,Memphis,TN,38112-1690,104,8,7.69%,43,114067
3913,991400,Roane State Community College,276 Patton Lane,Harriman,TN,37748-8664,0,0,0%,17,9671
3889,493800,South College,3904 Lonas Drive,Knoxville,TN,37909-3323,106,0,0%,325,267039
3919,351800,Southern Adventist University,4881 Taylor Circle,Collegedale,TN,37315-0370,182,33,18.13%,240,596620
3917,351700,Southern College of Optometry,1245 Madison Avenue,Memphis,TN,38104-2222,104,2,1.92%,11,48948
3916,1043900,Southwest Tennessee Community College,737 Union Avenue,Memphis,TN,38104-3322,0,0,0%,407,109920
3927,352200,Tennessee State University,3500 John A. Merritt Boulevard,Nashville,TN,37209-1561,146,42,28.77%,2360,2587923
3928,352300,Tennessee Technological University,1000 North Dixie Avenue,Cookeville,TN,38505-0001,169,6,3.55%,55,90870
3929,352400,Tennessee Temple University,1815 Union Avenue,Chattanooga,TN,37404-3587,112,34,30.36%,226,695771
3930,352500,Tennessee Wesleyan College,204 East College Street,Athens,TN,37371-0040,48,12,25.00%,44,85246
3931,352600,Trevecca Nazarene University,333 Murfreesboro Road,Nashville,TN,37210-2877,110,12,10.91%,101,269899
3932,352700,Tusculum College,60 Shiloh Road,Greeneville,TN,37743-0001,44,6,13.64%,140,301008
3933,352800,Union University,1050 Union University Drive,Jackson,TN,38305-3697,64,15,23.44%,52,90558
3902,350900,University of Memphis (The),Southern Avenue,Memphis,TN,38152-4611,85,15,17.65%,641,900343
3937,353000,University of Tennessee,800 Andy Holt Avenue,Knoxville,TN,37996-0150,826,30,3.63%,1232,3266710
3936,352900,University of Tennessee - Chattanooga,615 McCallie Avenue,Chattanooga,TN,37403-2598,97,7,7.22%,254,621971
3938,353100,University of Tennessee - Martin,325 Administration,Martin,TN,38238-0002,170,39,22.94%,296,705236
3940,353400,University of the South (The),735 University Avenue,Sewanee,TN,37383-1000,75,8,10.67%,48,181892
3941,353500,Vanderbilt University,211 Kirkland Hall,Nashville,TN,37240-0001,393,7,1.78%,214,877133
3942,991200,Volunteer State Community College,1480 Nashville Pike,Gallatin,TN,37066-3188,0,0,0%,21,12952
3944,494700,West Tennessee Business College,1186 Highway 45 By Pass,Jackson,TN,38301-3256,0,0,0%,106,62754
3946,353700,Abilene Christian University,1600 Campus Court,Abilene,TX,79699-3701,73,8,10.96%,114,248781
3956,354100,Angelo State University,2601 West Avenue 'N',San Angelo,TX,76909-5069,37,6,16.22%,11,58629
7744,2521200,Arlington Career Institute,901 Avenue K,Grand Prairie,TX,75050-2636,0,0,0%,21,29465
5612,2117100,Art Institute of Houston (The),4140 Southwest Freeway,Houston,TX,77027-7311,228,59,25.88%,1570,2125797
7642,2596600,ATI Career Training Center,10003 Technology Boulevard  West,Dallas,TX,75220-4443,0,0,0%,5,10542
3954,1248200,ATI Technical Training Center,6627 Maple Avenue,Dallas,TX,75235-4622,0,0,0%,54,46818
3961,354300,Austin College,900 North Grand Avenue,Sherman,TX,75090-4440,98,6,6.12%,99,362394
3964,494900,Baylor College of Medicine,One Baylor Plaza,Houston,TX,77030-3498,102,4,3.92%,17,137905
3965,354500,Baylor University,500 Speight Avenue,Waco,TX,76798-1458,117,10,8.55%,269,915091
6648,2294800,Capitol City Careers,5424 Highway 290 West #200,Austin,TX,78735-1498,0,0,0%,129,117160
5145,2074100,Capitol City Trade & Technical School,205 East Riverside Drive,Austin,TX,78704-1281,0,0,0%,128,105501
7569,2591100,Career Point College,4522 Fredericksburg Road,San Antonio,TX,78201-2027,0,0,0%,482,622158
3976,400300,Central Texas College District,6200 West Central Texas Expressway,Killeen,TX,76540-4199,0,0,0%,79,88473
3981,355300,Cisco College,101 College Heights,Cisco,TX,76437-9803,0,0,0%,74,20068
3983,355400,Clarendon College,1122 College Drive,Clarendon,TX,79226-0000,0,0,0%,1,1369
5821,2119200,Court Reporting Institute of Dallas,1341 W. Mockingbird Lane,Dallas,TX,75247-6913,0,0,0%,7,2126
3991,356000,Dallas Baptist University,3000 Mountain Creek Parkway,Dallas,TX,75211-9299,58,0,0%,10,28370
3996,356300,Del Mar College,101 Baldwin,Corpus Christi,TX,78404-3897,0,0,0%,25,23655
4015,356400,East Texas Baptist University,1209 North Grove,Marshall,TX,75670-1423,50,11,22.00%,354,608318
4017,1038700,El Paso Community College,919 Hunter,El Paso,TX,79915-1908,0,0,0%,5,1897
6651,2261300,Everest Institute,6550 First Park Ten Boulevard,San Antonio,TX,78213-3841,5,2,40.00%,6,7615
4030,1050900,Hallmark College of Technology,10401 IH-10 West,San Antonio,TX,78230-1736,59,22,37.29%,253,396863
4031,357100,Hardin-Simmons University,2200 Hickory Street,Abilene,TX,79698-6050,62,8,12.90%,113,262023
4034,357300,Hill College,112 Lamar Drive,Hillsboro,TX,76645-2711,0,0,0%,9,4751
4037,1063300,Houston Community College,3100 Main Street,Houston,TX,77002-7517,0,0,0%,61,50536
4039,357500,Howard Payne University,1000 Fisk Avenue,Brownwood,TX,76801-2715,49,9,18.37%,211,530418
4040,357700,Huston - Tillotson University,900 Chicon Street,Austin,TX,78702-2795,0,0,0%,250,295795
4046,363700,Jarvis Christian College,US Highway 80 East,Hawkins,TX,75765-1470,37,4,10.81%,729,1108468
4051,358100,Lamar University,4400 Martin Luther King Parkway,Beaumont,TX,77710-0042,72,6,8.33%,67,170814
4055,358400,LeTourneau University,2100 South Mobberly Avenue,Longview,TX,75602-3564,191,11,5.76%,102,180888
4056,358500,Lon Morris College,800 College Avenue,Jacksonville,TX,75766-2900,0,0,0%,42,16197
4059,358600,Lubbock Christian University,5601 19th Street,Lubbock,TX,79407-2099,154,26,16.88%,294,545346
4069,359100,McMurry University,South 14th & Sayles Boulevard,Abilene,TX,79697-0001,56,15,26.79%,92,241691
4071,359200,Midwestern State University,3410 Taft Boulevard,Wichita Falls,TX,76308-2099,3,0,0%,0,0
4090,359800,Our Lady of The Lake University,411 South West 24th Street,San Antonio,TX,78207-4689,66,16,24.24%,318,598585
6653,2305300,Parker University,2540 Walnut Hill Lane,Dallas,TX,75229-5609,43,7,16.28%,11,33299
4098,363000,Prairie View Agricultural & Mechanical University,FM 1098 @ LW Minor Street,Prairie View,TX,77446-2967,20,3,15.00%,359,497618
4102,360400,Rice University,6100 Main Street,Houston,TX,77005-1892,170,9,5.29%,187,766660
4106,362100,Saint Edwards University,3001 South Congress Avenue,Austin,TX,78704-0000,43,2,4.65%,117,460579
4108,362300,Saint Mary's University,One Camino Santa Maria,San Antonio,TX,78228-8500,303,51,16.83%,508,1482325
4110,360600,Sam Houston State University,1806 Avenue J,Huntsville,TX,77340-0000,15,6,40.00%,112,219490
4116,361100,South Plains College,1401 South College Avenue,Levelland,TX,79336-6504,0,0,0%,43,15486
4119,361300,Southern Methodist University,6425 Boaz Street,Dallas,TX,75275-0100,48,4,8.33%,161,1469274
5157,2093600,Southwest Institute of Technology,5424 Highway 290 West,Austin,TX,78735-8890,0,0,0%,168,206251
4126,361900,Southwestern Adventist University,100 West Hillcrest,Keene,TX,76059-1922,69,18,26.09%,23,45588
4123,361600,Southwestern Assemblies of God University,1200 Sycamore Street,Waxahachie,TX,75165-2397,60,15,25.00%,120,425010
4125,361800,Southwestern Christian College,200 Bowser Circle,Terrell,TX,75160-3400,0,0,0%,84,6980
4127,362000,Southwestern University,1001 East University Avenue,Georgetown,TX,78626-6111,93,15,16.13%,96,455366
4129,362400,Stephen F Austin State University,1936 North Street,Nacogdoches,TX,75962-0001,203,40,19.70%,427,1263161
4130,362500,Sul Ross State University,East Highway 90,Alpine,TX,79832-0113,34,21,61.76%,370,676582
4131,363100,Tarleton State University,1333 West Washington,Stephenville,TX,76401-0002,0,0,0%,123,347488
4134,362800,Texarkana College,2500 North Robison Road,Texarkana,TX,75599-0001,0,0,0%,49,20893
4136,363200,Texas A&M University,805 Rudder Tower,College Station,TX,77843-1246,930,104,11.18%,1096,2613726
4016,356500,Texas A&M University - Commerce,2600 South Neal,Commerce,TX,75429-3011,141,27,19.15%,60,203203
4138,1116100,Texas A&M University - Corpus Christi,6300 Ocean Drive,Corpus Christi,TX,78412-5599,37,8,21.62%,147,304192
4135,363900,Texas A&M University - Kingsville,College Hall,Kingsville,TX,78363-8203,49,22,44.90%,164,432037
4140,363600,Texas Christian University,2800 South University Drive,Fort Worth,TX,76129-0001,403,37,9.18%,404,862246
4141,363800,Texas College,2404 North Grand Avenue,Tyler,TX,75702-4500,0,0,0%,170,307034
4144,364100,Texas Lutheran University,1000 West Court Street,Seguin,TX,78155-5999,184,45,24.46%,489,839479
4145,364200,Texas Southern University,3100 Cleburne,Houston,TX,77004-4598,106,91,85.85%,734,1212473
4122,361500,Texas State University-San Marcos,601 University Drive,San Marcos,TX,78666-4602,20,2,10.00%,0,0
4151,364400,Texas Tech University,15th & Akron,Lubbock,TX,79409-2011,37,8,21.62%,145,488016
5175,1067400,Texas Tech University Health Sciences Center,3601 4th Street,Lubbock,TX,79430-0001,94,8,8.51%,73,189802
4153,364600,Texas Woman's University,304 Administration Drive,Denton,TX,76204-5587,72,6,8.33%,87,332483
4154,364700,Trinity University,One Trinity Place,San Antonio,TX,78212-7200,140,2,1.43%,130,521022
7058,2362000,Universal Technical Institute,721 Lockhaven Drive,Houston,TX,77073-9982,96,13,13.54%,406,429114
4165,365100,University of Dallas,1845 East Northgate Drive,Irving,TX,75062-4799,124,9,7.26%,137,338426
4166,365200,University of Houston,University Park,Houston,TX,77204-2010,751,104,13.85%,693,1869834
4160,1171100,University of Houston - Clear Lake,2700 Bay Area Boulevard,Houston,TX,77058-1002,100,30,30.00%,112,264048
4062,358800,University of Mary Hardin-Baylor,9th & College Street,Belton,TX,76513-2599,41,3,7.32%,123,349214
4085,359400,University of North Texas,Avenue C and Chestnut,Denton,TX,76203-5017,72,10,13.89%,262,718964
5158,976800,University of North Texas Health Science Center at Fort Worth,3500 Camp Bowie Boulevard,Fort Worth,TX,76107-2699,65,5,7.69%,46,158015
4168,365400,University of Saint Thomas,3800 Montrose Boulevard,Houston,TX,77006-4626,35,6,17.14%,69,172880
